division,AwayTeam,avg_AG,away_as,away_ds
B1,Anderlecht,1.38576779,0.93,0.97
B1,Antwerp,1.38576779,0.97,0.93
B1,Beerschot VA,1.38576779,1.11,1.33
B1,Cercle Brugge,1.38576779,0.62,1.02
B1,Charleroi,1.38576779,1.2,1.2
B1,Club Brugge,1.38576779,1.58,0.36
B1,Eupen,1.38576779,0.71,0.93
B1,Genk,1.38576779,1.06,1.02
B1,Gent,1.38576779,0.8,0.75
B1,Kortrijk,1.38576779,0.71,0.75
B1,Mechelen,1.38576779,0.89,0.93
B1,Mouscron,1.38576779,0.53,1.2
B1,Oostende,1.38576779,0.62,0.85
B1,Oud-Heverlee Leuven,1.38576779,1.24,1.37
B1,St Truiden,1.38576779,0.75,1.15
B1,Standard,1.38576779,0.89,0.84
B1,Waasland-Beveren,1.38576779,0.84,1.28
B1,Waregem,1.38576779,1.2,1.02
D1,Augsburg,1.423255814,0.63,0.89
D1,Bayern Munich,1.423255814,1.31,0.84
D1,Bielefeld,1.423255814,0.46,1.25
D1,Dortmund,1.423255814,1.21,1.01
D1,Ein Frankfurt,1.423255814,1.31,1.04
D1,FC Koln,1.423255814,0.52,1.1
D1,Freiburg,1.423255814,0.74,1.03
D1,Hertha,1.423255814,0.78,0.99
D1,Hoffenheim,1.423255814,0.89,1.25
D1,Leverkusen,1.423255814,0.94,0.47
D1,Mainz,1.423255814,0.68,1.25
D1,Mgladbach,1.423255814,1.14,1.2
D1,RB Leipzig,1.423255814,1.15,0.57
D1,Schalke 04,1.423255814,0.46,1.99
D1,Stuttgart,1.423255814,1.25,0.96
D1,Union Berlin,1.423255814,0.73,0.68
D1,Werder Bremen,1.423255814,0.84,0.99
D1,Wolfsburg,1.423255814,0.92,0.63
D2,Bochum,1.26635514,0.99,0.84
D2,Braunschweig,1.26635514,0.4,1.43
D2,Darmstadt,1.26635514,1.2,1.36
D2,Erzgebirge Aue,1.26635514,0.58,0.89
D2,Fortuna Dusseldorf,1.26635514,0.78,1.05
D2,Greuther Furth,1.26635514,1.31,0.73
D2,Hamburg,1.26635514,1.15,0.99
D2,Hannover,1.26635514,0.77,0.92
D2,Heidenheim,1.26635514,0.68,1.15
D2,Holstein Kiel,1.26635514,1.03,0.4
D2,Karlsruhe,1.26635514,1.2,0.89
D2,Nurnberg,1.26635514,0.84,0.99
D2,Osnabruck,1.26635514,0.58,0.94
D2,Paderborn,1.26635514,0.47,0.68
D2,Regensburg,1.26635514,0.46,0.86
D2,Sandhausen,1.26635514,0.42,1.41
D2,St Pauli,1.26635514,0.94,1.05
D2,Wurzburger Kickers,1.26635514,0.47,1.41
E0,Arsenal,1.3003663,1.04,0.76
E0,Aston Villa,1.3003663,0.98,0.6
E0,Brighton,1.3003663,0.82,0.94
E0,Burnley,1.3003663,0.47,1.18
