Country,League,Date,Time,Home,Away,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA
Argentina,Torneo Betano,13/12/2024,22:00,Barracas Central,Lanus,5.81,3.47,1.71,6,3.6,1.74,5.52,3.4,1.72,6,3.55,1.77
Argentina,Torneo Betano,13/12/2024,22:00,Estudiantes L.P.,Argentinos Jrs,2.19,3.14,3.78,2.23,3.22,3.78,2.16,3.12,3.66,2.26,3.1,4.1
Argentina,Torneo Betano,14/12/2024,00:15,Banfield,Sarmiento Junin,2.51,2.83,3.42,2.51,2.94,3.61,2.44,2.88,3.33,2.62,2.84,3.5
Argentina,Torneo Betano,14/12/2024,00:15,San Lorenzo,Tigre,1.98,3.05,4.66,2.06,3.22,4.66,1.98,3.08,4.4,1.99,3.15,5
Argentina,Torneo Betano,14/12/2024,20:00,Instituto,Godoy Cruz,1.93,3.23,4.37,1.98,3.4,4.38,1.94,3.26,4.24,1.96,3.2,4.5
Argentina,Torneo Betano,14/12/2024,20:00,Rosario Central,Belgrano,2.18,2.96,3.86,2.28,3.08,3.86,2.19,2.99,3.72,2.24,2.94,4
Argentina,Torneo Betano,14/12/2024,22:15,Boca Juniors,Independiente,2.21,2.94,3.78,2.25,3.2,3.78,2.19,3.03,3.66,2.18,2.92,4
Argentina,Torneo Betano,15/12/2024,00:15,Racing Club,River Plate,2.93,3.29,2.44,3,3.44,2.55,2.89,3.3,2.43,2.96,3.4,2.48
Argentina,Torneo Betano,15/12/2024,20:00,Defensa y Justicia,Union de Santa Fe,2.07,3.17,3.89,2.2,3.3,3.89,2.1,3.16,3.7,2.02,2.86,3.6
Argentina,Torneo Betano,15/12/2024,20:00,Platense,Gimnasia L.P.,2.1,2.88,4.27,2.1,3.1,4.3,2.06,2.95,4.15,2.06,2.74,4
Argentina,Torneo Betano,15/12/2024,22:30,Talleres Cordoba,Newells Old Boys,1.34,4.43,10.84,1.36,5.2,11,1.34,4.54,10.25,1.35,4.6,12.5
Argentina,Torneo Betano,15/12/2024,22:30,Velez Sarsfield,Huracan,1.78,3.18,5.42,1.83,3.5,5.42,1.78,3.23,5.12,1.8,3.2,5.9
Argentina,Torneo Betano,17/12/2024,00:00,Atl. Tucuman,Central Cordoba,1.94,3.18,4.37,1.94,3.35,4.7,1.89,3.24,4.44,1.41,1.1,1.41
Argentina,Torneo Betano,17/12/2024,00:00,Ind. Rivadavia,Dep. Riestra,2.04,3.05,4.16,2.11,3.4,4.5,2.04,3.11,4.01,1.42,1.1,1.42
Austria,Admiral Bundesliga,14/12/2024,16:00,Salzburg,A. Klagenfurt,1.17,7.55,14.05,1.18,9,17,1.16,7.96,13.59,1.13,6.4,13.5
Mexico,Liga MX,16/12/2024,01:00,Monterrey,Club America,2.29,3.21,3.19,2.35,3.45,3.19,2.28,3.35,3.04,,,
Poland,Ekstraklasa,14/12/2024,16:30,Slask Wroclaw,Radomiak Radom,2.15,3.22,3.57,2.25,3.38,3.57,2.14,3.23,3.43,2.1,3.3,3.65
Romania,Superliga,13/12/2024,15:00,FC Botosani,FC Hermannstadt,2.42,2.81,3.59,2.42,3.15,3.6,2.28,2.97,3.32,2.42,3,3.7
Romania,Superliga,13/12/2024,18:00,Din. Bucuresti,Poli Iasi,1.85,3.33,4.77,1.87,3.4,4.77,1.82,3.26,4.49,1.89,3.3,5.3
Romania,Superliga,14/12/2024,12:30,Otelul,UTA Arad,2.05,2.89,4.31,2.08,3.18,4.32,2.02,2.99,3.94,2.2,2.96,4.2
Romania,Superliga,14/12/2024,15:00,Univ. Craiova,Sepsi Sf. Gheorghe,1.78,3.59,4.39,1.85,3.73,4.4,1.79,3.57,4.2,1.8,3.25,4
Romania,Superliga,14/12/2024,18:00,U. Cluj,Petrolul,1.95,2.96,4.68,1.97,3.24,4.68,1.92,3.11,4.25,2,2.68,4.6
Romania,Superliga,15/12/2024,14:00,Unirea Slobozia,CFR Cluj,5.12,3.55,1.69,5.13,3.56,1.76,4.79,3.48,1.71,4.7,3.4,1.61
Romania,Superliga,15/12/2024,18:45,Farul Constanta,FCSB,4.09,3.69,1.82,4.33,3.77,1.87,3.95,3.62,1.81,4.3,3.6,1.83
Romania,Superliga,16/12/2024,18:00,FC Rapid Bucuresti,Gloria Buzau,1.41,4.42,7.48,1.43,4.75,7.5,1.4,4.38,7.09,1.26,1.1,1.26
Switzerland,Swiss,14/12/2024,17:00,Winterthur,Luzern,3.39,3.71,2.03,3.45,3.76,2.06,3.33,3.68,2.02,3.35,3.65,2.04
Switzerland,Swiss,14/12/2024,17:00,Yverdon,Sion,4.02,3.52,1.9,4.02,3.64,1.97,3.84,3.53,1.91,4.2,3.5,1.96
Switzerland,Swiss,14/12/2024,19:30,Basel,Grasshoppers,1.55,4.21,5.55,1.63,4.25,5.55,1.59,4.1,5.15,1.6,3.6,5.7
Switzerland,Swiss,15/12/2024,13:15,Young Boys,Servette,2.28,3.52,3,2.28,3.8,3,2.22,3.61,2.91,2.26,3.7,2.88
Switzerland,Swiss,15/12/2024,15:30,Lugano,Lausanne,2.14,3.64,3.18,2.2,3.66,3.2,2.13,3.56,3.11,2.18,3.45,3.1
Switzerland,Swiss,15/12/2024,15:30,Zurich,St. Gallen,2.23,3.41,3.18,2.28,3.6,3.18,2.23,3.43,3.02,2.12,3.1,2.86
